city,model,n,prevalence,AP,Brier,ECE,Capture20,NDCG20,Spearman,MAE_log,RMSE_log,R2_log,Pearson
Toronto,citer_moe_detect,25534,0.17576564580559254,0.634965373572526,0.10408188044735371,0.059560991371799064,0.6294682404722101,0.5774013325450481,0.5337664088339993,,,,
Toronto,citer_moe_burden,25534,0.17576564580559254,0.5363392610706735,0.1160029001539744,0.04398942603920424,0.5439679670357126,0.5572929665561485,0.5831988466990491,1.4004278563400634,1.958710907444743,0.35258886320432614,0.5961682495068451
Toronto,citer_moe_rank,25534,0.17576564580559254,0.5642980188356002,0.11381918609057863,0.05092657177217085,0.5679006246792727,0.5809278047837433,0.5944397091246143,,,,
Toronto,citer_moe_stack,25534,0.17576564580559254,0.6304809556454263,0.11116737923829292,0.07907809315390406,0.6246004699830794,0.6335981608280372,0.5276934698227987,,,,
New York,citer_moe_detect,5875,0.09940425531914894,0.5880751578448489,0.0721177328779414,0.05776981956036167,0.6539481593942755,0.6024588816769534,0.6662563440064103,,,,
New York,citer_moe_burden,5875,0.09940425531914894,0.5884615861093794,0.06122432930290545,0.026564885883874442,0.6617353770642197,0.628950175542176,0.7610727168218946,1.0345097652405597,1.3123817155178976,0.528137022494642,0.7509524172832891
New York,citer_moe_rank,5875,0.09940425531914894,0.5842061133616443,0.07380081203760513,0.07148262231194591,0.6633830881841275,0.6301653487482771,0.7632934286378757,,,,
New York,citer_moe_stack,5875,0.09940425531914894,0.621133447837831,0.057359920390661435,0.009795701193633153,0.6731615057175117,0.6158425010718724,0.8020257054091292,,,,
