city,model,n,prevalence,AP,Brier,ECE,Capture20,NDCG20,Spearman,MAE_log,RMSE_log,R2_log,Pearson
Toronto,citer_moe_detect,25534,0.17576564580559254,0.6360326797234541,0.10406741268131918,0.059813965682822705,0.6236957753165224,0.5851800266238546,0.5378317608677571,,,,
Toronto,citer_moe_burden,25534,0.17576564580559254,0.5459537274276481,0.11482982626786811,0.0432998245709497,0.5514761434133023,0.5630246886732322,0.5852382853853058,1.4075514370990243,1.9555429854781932,0.354681351077908,0.5980627405824961
Toronto,citer_moe_rank,25534,0.17576564580559254,0.5745582368985412,0.11233362736029101,0.05181309971200473,0.5727127593662056,0.5801859254089637,0.5965341043670024,,,,
Toronto,citer_moe_stack,25534,0.17576564580559254,0.6314348555157963,0.11121753878223406,0.07948782827997009,0.623996143756372,0.6333986497188956,0.5273862490448298,,,,
New York,citer_moe_detect,5875,0.09940425531914894,0.5881139946662163,0.07203226947036309,0.05845922405177609,0.6584638914907938,0.6054741411597291,0.6730825131055431,,,,
New York,citer_moe_burden,5875,0.09940425531914894,0.5844003542562373,0.06157824074302418,0.027083203070866386,0.6608651362682638,0.6266853039129283,0.7543325709277173,1.0490584117064026,1.3296253623230758,0.5156557559680603,0.7437486269771273
New York,citer_moe_rank,5875,0.09940425531914894,0.5858703098750899,0.0733353836133521,0.0691007604350118,0.6666588469023369,0.632317860079161,0.7690691297068869,,,,
New York,citer_moe_stack,5875,0.09940425531914894,0.6211027412180131,0.05736095555658769,0.009694529619513753,0.6731615057175117,0.6158465432314253,0.8021324102966614,,,,
