split,model,budget_fraction,high_risk_recall,exposure_capture,exposure_ndcg
validation_2023,mlp,0.05,0.22834008097165992,0.3123150528309832,0.375965747742465
validation_2023,mlp,0.1,0.37543859649122807,0.4669577384801602,0.44623906305873645
validation_2023,mlp,0.2,0.5867746288798921,0.6394559981786292,0.505636773900588
validation_2023,mlp,0.3,0.7506072874493928,0.7683388839107983,0.5528640267211499
test_2024,mlp,0.01,0.051916221033868094,0.07577645792899214,0.25776590697451707
test_2024,mlp,0.02,0.0962566844919786,0.13846052491691094,0.3272346421397272
test_2024,mlp,0.05,0.2103386809269162,0.28674111088993437,0.43858429923841924
test_2024,mlp,0.1,0.3518270944741533,0.4212685079816373,0.49203290918638437
test_2024,mlp,0.2,0.5728609625668449,0.6199648081361873,0.5735741749224562
test_2024,mlp,0.3,0.7444295900178253,0.757146330309052,0.6296434071797629
validation_2023,xgboost,0.01,0.05775978407557355,0.12312541356632378,0.26567795265286365
validation_2023,xgboost,0.02,0.1106612685560054,0.18711929219325515,0.3169269990664204
validation_2023,xgboost,0.05,0.23940620782726046,0.3286236121844666,0.401250140351767
validation_2023,xgboost,0.1,0.3792172739541161,0.4710582450724287,0.4589523730231128
validation_2023,xgboost,0.2,0.5875843454790823,0.6456078206076724,0.5181320448639283
validation_2023,xgboost,0.3,0.7508771929824561,0.7676885941037069,0.560906469214504
test_2024,xgboost,0.01,0.05414438502673797,0.08052005943286734,0.2671835727189971
test_2024,xgboost,0.02,0.10294117647058823,0.1488881520458279,0.3450637138531385
test_2024,xgboost,0.05,0.21947415329768272,0.2951313549358413,0.44961540611055895
test_2024,xgboost,0.1,0.35583778966131907,0.43051891826408817,0.502108285539913
test_2024,xgboost,0.2,0.571524064171123,0.6170825178730276,0.5730654660208242
test_2024,xgboost,0.3,0.7457664884135472,0.752696600923246,0.6281932268729495
validation_2023,native_catboost,0.01,0.057219973009446694,0.13322852026276075,0.408096778138494
validation_2023,native_catboost,0.02,0.10931174089068826,0.19482651829891096,0.43728205064357006
validation_2023,native_catboost,0.05,0.25209176788124155,0.3585733536264529,0.5225418932173439
validation_2023,native_catboost,0.1,0.38515519568151146,0.4707669943823094,0.5411512652738388
validation_2023,native_catboost,0.2,0.584885290148448,0.6406094555533112,0.588513456257617
validation_2023,native_catboost,0.3,0.7581646423751687,0.7759512693831685,0.6353629172737807
test_2024,native_catboost,0.01,0.053475935828877004,0.08911665473209808,0.31946880138683104
test_2024,native_catboost,0.02,0.10227272727272728,0.15190053406957107,0.3768305443413497
test_2024,native_catboost,0.05,0.22950089126559714,0.310756424946941,0.49077401605742665
test_2024,native_catboost,0.1,0.3611853832442068,0.43763605351070783,0.5286469405948336
test_2024,native_catboost,0.2,0.5668449197860963,0.6160421391846629,0.5898269811575473
test_2024,native_catboost,0.3,0.7531194295900179,0.7591849309754207,0.6489596854706072
validation_2023,btm_lgbm_duration,0.01,0.049662618083670715,0.11827731363642961,0.30685230373750016
validation_2023,btm_lgbm_duration,0.02,0.09581646423751687,0.17960024596080357,0.3492780994841426
validation_2023,btm_lgbm_duration,0.05,0.24426450742240216,0.31673687351623486,0.42348867550301583
validation_2023,btm_lgbm_duration,0.1,0.384885290148448,0.4362340233345088,0.46042765769896343
validation_2023,btm_lgbm_duration,0.2,0.5527665317139001,0.5904622852445561,0.5077399841417704
validation_2023,btm_lgbm_duration,0.3,0.6860998650472334,0.6924569197199465,0.5397086194112796
test_2024,btm_lgbm_duration,0.01,0.04389483065953654,0.09522778557296076,0.40760788457866726
test_2024,btm_lgbm_duration,0.02,0.08868092691622104,0.1669036936881801,0.46452479404059244
test_2024,btm_lgbm_duration,0.05,0.2181372549019608,0.30089008174198595,0.5258251029834974
test_2024,btm_lgbm_duration,0.1,0.36564171122994654,0.43237833294573663,0.5615963109768155
test_2024,btm_lgbm_duration,0.2,0.5617201426024956,0.6058055622002793,0.614930284050862
test_2024,btm_lgbm_duration,0.3,0.6971925133689839,0.7070763686213611,0.6447965638348578
validation_2023,weibull_aft,0.01,0.03859649122807018,0.10033131151925327,0.23869723695889297
validation_2023,weibull_aft,0.02,0.07071524966261808,0.13604445733818085,0.2554441786705625
validation_2023,weibull_aft,0.05,0.15006747638326587,0.2548941185291035,0.32896941436076327
validation_2023,weibull_aft,0.1,0.28879892037786775,0.40259975589193914,0.3998010932669368
validation_2023,weibull_aft,0.2,0.4631578947368421,0.5388569678212011,0.44201445853084437
validation_2023,weibull_aft,0.3,0.6302294197031039,0.6540882848957865,0.4846131490629415
test_2024,weibull_aft,0.01,0.037655971479500894,0.07584004278963132,0.23577730247740614
test_2024,weibull_aft,0.02,0.07330659536541889,0.11835613188921507,0.27067795499698366
test_2024,weibull_aft,0.05,0.14661319073083778,0.22517079701190099,0.342619123265987
test_2024,weibull_aft,0.1,0.2789661319073084,0.37629738956107256,0.4277700073643597
test_2024,weibull_aft,0.2,0.4694741532976827,0.5446969100078236,0.4955270326429745
test_2024,weibull_aft,0.3,0.6341354723707665,0.662358480926713,0.5433231631690819
validation_2023,mtdnn_survival,0.01,0.01862348178137652,0.03132154813562877,0.07358998728198017
validation_2023,mtdnn_survival,0.02,0.03670715249662618,0.056746862262479644,0.09874445391296344
validation_2023,mtdnn_survival,0.05,0.0941970310391363,0.1712762000392331,0.1941609734727817
validation_2023,mtdnn_survival,0.1,0.203778677462888,0.31517855778050136,0.2798095464984385
validation_2023,mtdnn_survival,0.2,0.5006747638326585,0.5915180485931666,0.422682626047259
validation_2023,mtdnn_survival,0.3,0.7001349527665317,0.7240434251212926,0.47613800551256086
test_2024,mtdnn_survival,0.01,0.02161319073083779,0.03224629997199007,0.10908541507628323
test_2024,mtdnn_survival,0.02,0.041666666666666664,0.057119756789377515,0.13526269962669746
test_2024,mtdnn_survival,0.05,0.10026737967914438,0.13987167881045212,0.20775899741066944
test_2024,mtdnn_survival,0.1,0.20254010695187166,0.2822313482885856,0.3071933831053983
test_2024,mtdnn_survival,0.2,0.48351158645276293,0.5624427511740383,0.47460319140975754
test_2024,mtdnn_survival,0.3,0.6860516934046346,0.7136187930758817,0.5460416424129338
validation_2023,finetuned_minilm,0.01,0.057219973009446694,0.13299066127898632,0.2988209820033944
validation_2023,finetuned_minilm,0.02,0.11012145748987855,0.19902327989155222,0.3496318271146792
validation_2023,finetuned_minilm,0.05,0.24723346828609988,0.34293649404449966,0.4302367967230117
validation_2023,finetuned_minilm,0.1,0.38866396761133604,0.4702203605950354,0.47250772543868164
validation_2023,finetuned_minilm,0.2,0.5875843454790823,0.6484688050143727,0.5329823159903276
validation_2023,finetuned_minilm,0.3,0.7524966261808367,0.7690703983005174,0.5742078797838471
test_2024,finetuned_minilm,0.01,0.05503565062388592,0.08565381189624427,0.27734218098588925
test_2024,finetuned_minilm,0.02,0.10071301247771836,0.14348836059074255,0.3336532422143414
test_2024,finetuned_minilm,0.05,0.22437611408199643,0.29367305258377346,0.4459927356512556
test_2024,finetuned_minilm,0.1,0.3602941176470588,0.4228346209052367,0.4934373386068452
test_2024,finetuned_minilm,0.2,0.5739750445632799,0.6270366738258686,0.5788657897993282
test_2024,finetuned_minilm,0.3,0.7535650623885918,0.7644973429292823,0.6348869904761472
validation_2023,conditional_survival,0.01,0.057219973009446694,0.13311418310974918,0.3619800454638467
validation_2023,conditional_survival,0.02,0.1125506072874494,0.19796395731471453,0.4027699766711733
validation_2023,conditional_survival,0.05,0.25317139001349526,0.3445483720503544,0.4761643527320665
validation_2023,conditional_survival,0.1,0.39649122807017545,0.47501912117895084,0.5151705690757757
validation_2023,conditional_survival,0.2,0.5954116059379218,0.6433579696855807,0.5647318038443715
validation_2023,conditional_survival,0.3,0.762753036437247,0.7720115047214261,0.6088564481152398
test_2024,conditional_survival,0.01,0.05481283422459893,0.09287303116354939,0.3701336183621577
test_2024,conditional_survival,0.02,0.1053921568627451,0.15379077870583563,0.413745028364431
test_2024,conditional_survival,0.05,0.22972370766488415,0.3025006645886728,0.504747670024018
test_2024,conditional_survival,0.1,0.3761140819964349,0.433342104785967,0.5440384814636943
test_2024,conditional_survival,0.2,0.5871212121212122,0.6200891679269009,0.609438085705563
test_2024,conditional_survival,0.3,0.7624777183600713,0.7633265772302629,0.6673369829704134
validation_2023,direct_exposure_lgbm,0.01,0.054790823211875846,0.158173509872907,0.3964073094635538
validation_2023,direct_exposure_lgbm,0.02,0.10526315789473684,0.21652556409850904,0.42259194726372906
validation_2023,direct_exposure_lgbm,0.05,0.24156545209176788,0.3332591611221036,0.46416802238149124
validation_2023,direct_exposure_lgbm,0.1,0.39541160593792174,0.4526904126687994,0.4957102049650913
validation_2023,direct_exposure_lgbm,0.2,0.5314439946018893,0.5889208402977242,0.527025500181299
validation_2023,direct_exposure_lgbm,0.3,0.6634278002699056,0.6916107874924003,0.5584402387137084
test_2024,direct_exposure_lgbm,0.01,0.05035650623885918,0.10309790668646106,0.3869927421909514
test_2024,direct_exposure_lgbm,0.02,0.09603386809269163,0.18138227928768044,0.4612204746376536
test_2024,direct_exposure_lgbm,0.05,0.22147950089126558,0.2900698893175888,0.49114516591654495
test_2024,direct_exposure_lgbm,0.1,0.3609625668449198,0.4013951317654472,0.5137137311188911
test_2024,direct_exposure_lgbm,0.2,0.49064171122994654,0.53283644103343,0.5415794995202077
test_2024,direct_exposure_lgbm,0.3,0.6200980392156863,0.650617842937707,0.5868118343638739
validation_2023,exposure_lambdamart,0.01,0.04939271255060729,0.16670131015797254,0.4187558880087936
validation_2023,exposure_lambdamart,0.02,0.08717948717948718,0.2243662393225737,0.44161715609260127
validation_2023,exposure_lambdamart,0.05,0.17840755735492578,0.32755753273949184,0.46518882156531627
validation_2023,exposure_lambdamart,0.1,0.3287449392712551,0.4732955872482816,0.5174024391399387
validation_2023,exposure_lambdamart,0.2,0.5603238866396761,0.6430232134708206,0.5676444333004593
validation_2023,exposure_lambdamart,0.3,0.7222672064777328,0.7623109455179068,0.606458173094551
test_2024,exposure_lambdamart,0.01,0.045454545454545456,0.1129712410259032,0.3933161277131292
test_2024,exposure_lambdamart,0.02,0.07731729055258467,0.17593355080107706,0.43711683809438096
test_2024,exposure_lambdamart,0.05,0.15975935828877005,0.2889022270412777,0.47764136280865344
test_2024,exposure_lambdamart,0.1,0.3054812834224599,0.44110300560665877,0.5414001183626341
test_2024,exposure_lambdamart,0.2,0.5427807486631016,0.6211860971396994,0.6024632716050415
test_2024,exposure_lambdamart,0.3,0.7214795008912656,0.7486618464649054,0.6504072711318891
validation_2023,citer_dynamic_exposure,0.01,0.05668016194331984,0.14872072203275924,0.37885369184656204
validation_2023,citer_dynamic_exposure,0.02,0.11282051282051282,0.2023756334255278,0.40134659830268665
validation_2023,citer_dynamic_exposure,0.05,0.25101214574898784,0.343352622022267,0.4699356035832404
validation_2023,citer_dynamic_exposure,0.1,0.40674763832658567,0.48274456568382157,0.5163626165193785
validation_2023,citer_dynamic_exposure,0.2,0.6089068825910932,0.6404511485663076,0.5590168722263097
validation_2023,citer_dynamic_exposure,0.3,0.7560053981106613,0.7708977570205449,0.6043908403558444
test_2024,citer_dynamic_exposure,0.01,0.05414438502673797,0.09932843551591122,0.38420826855504536
test_2024,citer_dynamic_exposure,0.02,0.10472370766488413,0.15448818580244342,0.4150057881273002
test_2024,citer_dynamic_exposure,0.05,0.22437611408199643,0.300012377246303,0.502564477389941
test_2024,citer_dynamic_exposure,0.1,0.3803475935828877,0.4354241234876552,0.5462287885350194
test_2024,citer_dynamic_exposure,0.2,0.5915775401069518,0.6155188574399068,0.6062386453470816
test_2024,citer_dynamic_exposure,0.3,0.7448752228163993,0.7521237324236172,0.6599968388815413
