split,target,model,n,prevalence,ap,auc,brier,log_loss,ece10,top20_recall,top20_burden_capture,ndcg20,fit_seconds
validation_2023,high_exposure_v2,native_catboost,22109,0.1675788140576236,0.6010875360382688,0.8673785491096373,0.15230052848948972,0.4483578740041905,0.1701688807093007,0.584885290148448,0.6406094555533112,0.588513456257617,60.94643998146057
test_2024,high_exposure_v2,native_catboost,25534,0.17576564580559254,0.5896747227175959,0.8637987593765833,0.10602267023518298,0.3334122171789994,0.03428806246762628,0.5668449197860963,0.6160421391846629,0.5898269811575473,60.94643998146057
validation_2023,high_exposure_v2,btm_lgbm_duration,22109,0.1675788140576236,0.5514978663289692,0.8219471739553186,0.10660650783741123,0.35322190682658905,0.027194676800809666,0.5527665317139001,0.5904622852445561,0.5077399841417704,4.426624774932861
test_2024,high_exposure_v2,btm_lgbm_duration,25534,0.17576564580559254,0.5463579107979725,0.8236755033495087,0.11112868052139062,0.3641348935069381,0.025163607114769292,0.5617201426024956,0.6058055622002793,0.614930284050862,4.426624774932861
validation_2023,high_exposure_v2,weibull_aft,22109,0.1675788140576236,0.3941248697867851,0.7755423995429029,0.12052549885390698,0.3869065786307262,0.01863302715990255,0.4631578947368421,0.5388569678212011,0.44201445853084437,13.739926815032959
test_2024,high_exposure_v2,weibull_aft,25534,0.17576564580559254,0.41139115924167546,0.7771370968151758,0.12429166422747887,0.396623697481256,0.021027639197387624,0.4694741532976827,0.5446969100078236,0.4955270326429745,13.739926815032959
validation_2023,high_exposure_v2,mtdnn_survival,22109,0.1675788140576236,0.3594525260293355,0.8063510367546103,0.2336430102304812,1.6008018353813722,0.2732563917262474,0.5006747638326585,0.5915180485931666,0.422682626047259,23.654067039489746
test_2024,high_exposure_v2,mtdnn_survival,25534,0.17576564580559254,0.3724706201582392,0.8067069535994749,0.12195064138047616,0.37413717313800104,0.041904520931011664,0.48351158645276293,0.5624427511740383,0.47460319140975754,23.654067039489746
validation_2023,high_exposure_v2,finetuned_minilm,22109,0.1675788140576236,0.601575002384777,0.86468099700206,0.16062932854004147,0.47356423528216124,0.19225250596138568,0.5875843454790823,0.6484688050143727,0.5329823159903276,60.94993042945862
test_2024,high_exposure_v2,finetuned_minilm,25534,0.17576564580559254,0.5901280209990897,0.8638821699534998,0.10532067899054537,0.33128153261323634,0.026546006480663718,0.5739750445632799,0.6270366738258686,0.5788657897993282,60.94993042945862
validation_2023,high_exposure_v2,conditional_survival,22109,0.1675788140576236,0.6177104643189437,0.8721070508934132,0.09708616146771488,0.30630355236354306,0.02919701859682773,0.5954116059379218,0.6433579696855807,0.5647318038443715,112.50629734992981
test_2024,high_exposure_v2,conditional_survival,25534,0.17576564580559254,0.611992188989947,0.8720111201115694,0.10353750357775066,0.3342885354888264,0.03564126488427652,0.5871212121212122,0.6200891679269009,0.609438085705563,112.50629734992981
validation_2023,high_exposure_v2,direct_exposure_lgbm,22109,0.1675788140576236,0.5498191005683334,0.8172644361476309,0.1073990868615558,0.3674754039027427,0.0324668878133092,0.5314439946018893,0.5889208402977242,0.5221501423989285,5.338577032089233
test_2024,high_exposure_v2,direct_exposure_lgbm,25534,0.17576564580559254,0.5200857726329176,0.8016364142004196,0.11680458484259613,0.3915309017910806,0.03165011190494806,0.49064171122994654,0.53283644103343,0.550386435905619,5.338577032089233
validation_2023,high_exposure_v2,exposure_lambdamart,22109,0.1675788140576236,0.5027172220588909,0.8457348648903116,0.10806470141720816,0.33774992214307353,0.027764494122751924,0.5603238866396761,0.6430232134708206,0.5676444333004593,6.731213569641113
test_2024,high_exposure_v2,exposure_lambdamart,25534,0.17576564580559254,0.49484538594922983,0.8442970891111449,0.1135929064092575,0.3501144997227265,0.03540606882797128,0.5427807486631016,0.6211860971396994,0.6024632716050415,6.731213569641113
validation_2023,high_exposure_v2,citer_dynamic_exposure,22109,0.1675788140576236,0.6215062254235587,0.8730336889152478,0.09712027752211315,0.30760680808791135,0.027801895197085875,0.6089068825910932,0.6404511485663076,0.5590168722263097,0.0
test_2024,high_exposure_v2,citer_dynamic_exposure,25534,0.17576564580559254,0.6089928395013696,0.8702546438045989,0.10216229454736764,0.3190147644901452,0.024620914734118496,0.5915775401069518,0.6155188574399068,0.6062386453470816,0.0
