city,model,paper_AP,artifact_AP,rounded_match_AP,paper_Brier,artifact_Brier,rounded_match_Brier,paper_ECE_10,artifact_ECE_10,rounded_match_ECE_10,paper_NDCG_top20pct,artifact_NDCG_top20pct,rounded_match_NDCG_top20pct,all_rounded_metrics_match
Toronto,CITER-MoE-Detect,0.635,0.634965373572526,True,0.104,0.10408188044735371,True,0.06,0.059560991371799064,True,0.577,0.5774013325450481,True,True
Toronto,CITER-MoE-Router,0.63,0.6304809556454263,True,0.111,0.11116737923829292,True,0.079,0.07907809315390406,True,0.634,0.6335981608280372,True,True
Toronto,Conditional survival,0.612,0.611992188989947,True,0.104,0.10353750357775066,True,0.036,0.03564126488427651,True,0.609,0.609438085705563,True,True
Toronto,CITER-Detect,0.609,0.6089928395013696,True,0.102,0.10216229454736762,True,0.025,0.024620914734118496,True,0.606,0.6062386453470816,True,True
Toronto,CatBoost,0.591,0.5913042015531379,True,0.105,0.10537427378931312,True,0.03,0.030269178743616246,True,0.58,0.5801916995023525,True,True
Toronto,Fine-tuned MiniLM,0.59,0.5901280209990897,True,0.105,0.10532067899054538,True,0.027,0.026546006480663714,True,0.579,0.5788657897993282,True,True
Toronto,Duration x demand,0.546,0.5463607209281198,True,0.111,0.1111286806774543,True,0.025,0.025163644852347043,True,0.615,0.614930284050862,True,True
Toronto,CITER-Burden,0.52,0.5202449272038369,True,0.117,0.1168045848895036,True,0.032,0.03165011237721101,True,0.542,0.5415795089609614,True,True
Toronto,CITER-Rank,0.495,0.49484538594922983,True,0.114,0.1135929064092575,True,0.035,0.035406068827971295,True,0.602,0.6024632716050415,True,True
New York,CITER-MoE-Router,0.621,0.621133447837831,True,0.057,0.057359920390661435,True,0.01,0.009795701193633153,True,0.616,0.6158425010718724,True,True
New York,CITER-Burden,0.615,0.6153527700963444,True,0.059,0.058685320861521624,True,0.014,0.013746957429869701,True,0.635,0.6348411159629057,True,True
New York,CITER-Detect,0.614,0.6143625950481192,True,0.06,0.05998533772198282,True,0.028,0.02766150817951035,True,0.633,0.6329190258739208,True,True
New York,CITER-Rank,0.612,0.6123918965254188,True,0.059,0.058974797810918675,True,0.014,0.013517462740564808,True,0.619,0.6187536202123257,True,True
New York,Native CatBoost,0.601,0.6006887247828626,True,0.061,0.061421038653978854,True,0.038,0.03759934715980072,True,0.606,0.6062183597158729,True,True
New York,Duration x demand,0.599,0.5993661475614889,True,0.06,0.060342345076550404,True,0.017,0.01732929846528719,True,0.631,0.6314011083356842,True,True
New York,CITER-MoE-Detect,0.588,0.5880751578448489,True,0.072,0.0721177328779414,True,0.058,0.05776981956036167,True,0.602,0.6024588816769534,True,True
New York,Multi-task survival,0.489,0.48945942775218604,True,0.068,0.06837720905792785,True,0.012,0.011836956190693616,True,0.574,0.5744006358760263,True,True
New York,Fine-tuned MiniLM,0.413,0.41336562348565414,True,0.134,0.13398192370526948,True,0.181,0.18086865978798966,True,0.523,0.5230815768058588,True,True
