city,model,artifact_model_key,n_test,prevalence,AP,Brier,ECE_10,NDCG_top20pct
Toronto,CITER-MoE-Detect,citer_moe_detect,25534,0.17576564580559254,0.634965373572526,0.10408188044735371,0.059560991371799064,0.5774013325450481
Toronto,CITER-MoE-Router,citer_moe_stack,25534,0.17576564580559254,0.6304809556454263,0.11116737923829292,0.07907809315390406,0.6335981608280372
Toronto,Conditional survival,conditional_survival,25534,0.17576564580559254,0.611992188989947,0.10353750357775066,0.03564126488427651,0.609438085705563
Toronto,CITER-Detect,citer_dynamic_exposure,25534,0.17576564580559254,0.6089928395013696,0.10216229454736762,0.024620914734118496,0.6062386453470816
Toronto,CatBoost,catboost,25534,0.17576564580559254,0.5913042015531379,0.10537427378931312,0.030269178743616246,0.5801916995023525
Toronto,Fine-tuned MiniLM,finetuned_minilm,25534,0.17576564580559254,0.5901280209990897,0.10532067899054538,0.026546006480663714,0.5788657897993282
Toronto,Duration x demand,btm_lgbm_duration,25534,0.17576564580559254,0.5463607209281198,0.1111286806774543,0.025163644852347043,0.614930284050862
Toronto,CITER-Burden,direct_exposure_lgbm,25534,0.17576564580559254,0.5202449272038369,0.1168045848895036,0.03165011237721101,0.5415795089609614
Toronto,CITER-Rank,exposure_lambdamart,25534,0.17576564580559254,0.49484538594922983,0.1135929064092575,0.035406068827971295,0.6024632716050415
New York,CITER-MoE-Router,citer_moe_stack,5875,0.09940425531914894,0.621133447837831,0.057359920390661435,0.009795701193633153,0.6158425010718724
New York,CITER-Burden,direct_exposure_lgbm,5875,0.09940425531914894,0.6153527700963444,0.058685320861521624,0.013746957429869701,0.6348411159629057
New York,CITER-Detect,citer_detect,5875,0.09940425531914894,0.6143625950481192,0.05998533772198282,0.02766150817951035,0.6329190258739208
New York,CITER-Rank,exposure_lambdamart,5875,0.09940425531914894,0.6123918965254188,0.058974797810918675,0.013517462740564808,0.6187536202123257
New York,Native CatBoost,native_catboost,5875,0.09940425531914894,0.6006887247828626,0.061421038653978854,0.03759934715980072,0.6062183597158729
New York,Duration x demand,text_structured_lgbm_duration,5875,0.09940425531914894,0.5993661475614889,0.060342345076550404,0.01732929846528719,0.6314011083356842
New York,CITER-MoE-Detect,citer_moe_detect,5875,0.09940425531914894,0.5880751578448489,0.0721177328779414,0.05776981956036167,0.6024588816769534
New York,Multi-task survival,mtdnn_survival,5875,0.09940425531914894,0.48945942775218604,0.06837720905792785,0.011836956190693616,0.5744006358760263
New York,Fine-tuned MiniLM,finetuned_minilm,5875,0.09940425531914894,0.41336562348565414,0.13398192370526948,0.18086865978798966,0.5230815768058588
