split,model,budget_fraction,high_risk_recall,exposure_capture,exposure_ndcg
validation_2023,prior,0.01,0.007194244604316547,0.0032458974386859792,0.008569849307975176
validation_2023,prior,0.02,0.02877697841726619,0.013403917045715608,0.022322947977120942
validation_2023,prior,0.05,0.07913669064748201,0.055278878465860104,0.06029780936114035
validation_2023,prior,0.1,0.11510791366906475,0.08388883927250869,0.07445666439445342
validation_2023,prior,0.2,0.19424460431654678,0.189808570059911,0.1300777432462043
validation_2023,prior,0.3,0.302158273381295,0.311399698931712,0.18855155519036623
validation_2023,fused_logistic,0.01,0.1079136690647482,0.14416532381353775,0.4878965551221109
validation_2023,fused_logistic,0.02,0.2014388489208633,0.2105969754665022,0.5078952647812466
validation_2023,fused_logistic,0.05,0.38848920863309355,0.33410421951308783,0.5387605702642702
validation_2023,fused_logistic,0.1,0.5251798561151079,0.4483876925904966,0.5630242521819316
validation_2023,fused_logistic,0.2,0.6762589928057554,0.5902729816556109,0.5980524507850766
validation_2023,fused_logistic,0.3,0.8057553956834532,0.7019520757169362,0.6337491723151396
validation_2023,random_forest,0.01,0.10071942446043165,0.06719180165865059,0.21919668538152598
validation_2023,random_forest,0.02,0.18705035971223022,0.18975979874556015,0.3706086418444141
validation_2023,random_forest,0.05,0.3669064748201439,0.322491020617985,0.43548760268888087
validation_2023,random_forest,0.1,0.5179856115107914,0.4590380707010674,0.48647259397271786
validation_2023,random_forest,0.2,0.6618705035971223,0.6077573208482323,0.5325194397584252
validation_2023,random_forest,0.3,0.8273381294964028,0.7249877668566159,0.5735561177648258
validation_2023,extra_trees,0.01,0.09352517985611511,0.11340538004166277,0.40522399734082865
validation_2023,extra_trees,0.02,0.18705035971223022,0.17942214652276917,0.43885753893317947
validation_2023,extra_trees,0.05,0.35251798561151076,0.30827398844385273,0.4883611417988242
validation_2023,extra_trees,0.1,0.5179856115107914,0.45800425842306086,0.544818770490319
validation_2023,extra_trees,0.2,0.6690647482014388,0.6083805487889712,0.5863908981809077
validation_2023,extra_trees,0.3,0.8129496402877698,0.7087449939378216,0.6171206792629501
validation_2023,hist_gradient_boosting,0.01,0.09352517985611511,0.11266677142103694,0.34101215258166107
validation_2023,hist_gradient_boosting,0.02,0.19424460431654678,0.2040041826326856,0.4216329420990947
validation_2023,hist_gradient_boosting,0.05,0.381294964028777,0.3367761993655396,0.47754810027928074
validation_2023,hist_gradient_boosting,0.1,0.5251798561151079,0.46398456975047836,0.5178331028866896
validation_2023,hist_gradient_boosting,0.2,0.6690647482014388,0.6067171469844634,0.55731668220124
validation_2023,hist_gradient_boosting,0.3,0.7841726618705036,0.7037617041688087,0.5871800627042683
validation_2023,lightgbm,0.01,0.09352517985611511,0.1150495667366848,0.3592060919229503
validation_2023,lightgbm,0.02,0.19424460431654678,0.20638434556498259,0.4402770684476123
validation_2023,lightgbm,0.05,0.37410071942446044,0.337145421439279,0.49017887469665367
validation_2023,lightgbm,0.1,0.5251798561151079,0.4683702038823695,0.5311337315308946
validation_2023,lightgbm,0.2,0.6690647482014388,0.609714708762864,0.5684108603884637
validation_2023,lightgbm,0.3,0.7985611510791367,0.7092695835189426,0.5990281832738804
validation_2023,catboost,0.01,0.09352517985611511,0.10436366571477657,0.3394146835503362
validation_2023,catboost,0.02,0.18705035971223022,0.19982318279824127,0.43065777195506316
validation_2023,catboost,0.05,0.381294964028777,0.340351141766252,0.4926666067805168
validation_2023,catboost,0.1,0.5107913669064749,0.4595788491587903,0.5244709668335413
validation_2023,catboost,0.2,0.6906474820143885,0.6193447084587257,0.573228830493866
validation_2023,catboost,0.3,0.8201438848920863,0.73400706970439,0.611454296992838
validation_2023,mlp,0.01,0.1079136690647482,0.12052346706810253,0.4573549242285271
validation_2023,mlp,0.02,0.18705035971223022,0.19005724520385417,0.4872943232489582
validation_2023,mlp,0.05,0.3669064748201439,0.33213231480883404,0.5403617246093103
validation_2023,mlp,0.1,0.49640287769784175,0.4447065579271107,0.5619884355449991
validation_2023,mlp,0.2,0.6690647482014388,0.5848286237240874,0.5959388463768744
validation_2023,mlp,0.3,0.7697841726618705,0.6921315644877686,0.6294426005566742
validation_2023,xgboost,0.01,0.09352517985611511,0.09140084618716036,0.3781178146391716
validation_2023,xgboost,0.02,0.19424460431654678,0.20676015899386724,0.4903763026790588
validation_2023,xgboost,0.05,0.3669064748201439,0.3279655837060772,0.5222991598453137
validation_2023,xgboost,0.1,0.5251798561151079,0.46713894404736933,0.5658712807526561
validation_2023,xgboost,0.2,0.697841726618705,0.6039334067078472,0.5973947065632645
validation_2023,xgboost,0.3,0.7913669064748201,0.7326111492473324,0.6419774803695565
validation_2023,native_catboost,0.01,0.09352517985611511,0.11519341559330099,0.4114091914088813
validation_2023,native_catboost,0.02,0.19424460431654678,0.20709187211415278,0.4825689595579045
validation_2023,native_catboost,0.05,0.381294964028777,0.3419671901110692,0.5294198012154524
validation_2023,native_catboost,0.1,0.5323741007194245,0.4692347525566464,0.5635108457343491
validation_2023,native_catboost,0.2,0.7266187050359713,0.6363512700958046,0.6130302075335221
validation_2023,native_catboost,0.3,0.8129496402877698,0.7435657449976322,0.6458907354213441
validation_2023,text_structured_lgbm_duration,0.01,0.10071942446043165,0.13659217814218436,0.41336090829888855
validation_2023,text_structured_lgbm_duration,0.02,0.18705035971223022,0.20761951651133767,0.4538238116375698
validation_2023,text_structured_lgbm_duration,0.05,0.4028776978417266,0.3604877458971198,0.5231360797337626
validation_2023,text_structured_lgbm_duration,0.1,0.5179856115107914,0.4674853344434212,0.5425978507314297
validation_2023,text_structured_lgbm_duration,0.2,0.697841726618705,0.6185822375748369,0.5845700349500703
validation_2023,text_structured_lgbm_duration,0.3,0.8345323741007195,0.7322081819558525,0.6216685411606249
validation_2023,weibull_aft,0.01,0.10071942446043165,0.12856531955133274,0.47048304365373594
validation_2023,weibull_aft,0.02,0.17985611510791366,0.19138593246199706,0.4893130146275002
validation_2023,weibull_aft,0.05,0.37410071942446044,0.3467633968816539,0.5554780867481173
validation_2023,weibull_aft,0.1,0.5323741007194245,0.47073944900975273,0.5831269994562065
validation_2023,weibull_aft,0.2,0.6690647482014388,0.6080176532539637,0.613607457756256
validation_2023,weibull_aft,0.3,0.7841726618705036,0.7114701602124184,0.6446536510661945
validation_2023,mtdnn_survival,0.01,0.07194244604316546,0.10190242869132525,0.3842832477151526
validation_2023,mtdnn_survival,0.02,0.11510791366906475,0.14745492717906186,0.39010748407126883
validation_2023,mtdnn_survival,0.05,0.302158273381295,0.26296541252594446,0.4346202579215492
validation_2023,mtdnn_survival,0.1,0.4892086330935252,0.40406146560127687,0.48856274138054673
validation_2023,mtdnn_survival,0.2,0.6618705035971223,0.5682191093613247,0.5426846324058481
validation_2023,mtdnn_survival,0.3,0.7338129496402878,0.6543576857265938,0.5675968097537363
validation_2023,direct_exposure_lgbm,0.01,0.10071942446043165,0.09503790833140316,0.34977549588883067
validation_2023,direct_exposure_lgbm,0.02,0.19424460431654678,0.21912069357005312,0.4829173986398363
validation_2023,direct_exposure_lgbm,0.05,0.4028776978417266,0.3647430444959397,0.5404400837908166
validation_2023,direct_exposure_lgbm,0.1,0.5323741007194245,0.46765130816859085,0.5545688399300125
validation_2023,direct_exposure_lgbm,0.2,0.7410071942446043,0.6482000888874251,0.6125719832934605
validation_2023,direct_exposure_lgbm,0.3,0.8561151079136691,0.745942550811305,0.6406584014458467
validation_2023,exposure_lambdamart,0.01,0.09352517985611511,0.11327461903634867,0.3429310430590659
validation_2023,exposure_lambdamart,0.02,0.2014388489208633,0.2043615127535012,0.42715144859554444
validation_2023,exposure_lambdamart,0.05,0.4028776978417266,0.3626693868465572,0.5084350794957625
validation_2023,exposure_lambdamart,0.1,0.5251798561151079,0.4641599252579992,0.5248456832874842
validation_2023,exposure_lambdamart,0.2,0.6618705035971223,0.6118682995910022,0.5672663293958502
validation_2023,exposure_lambdamart,0.3,0.841726618705036,0.7618029732400657,0.6238801552260536
validation_2023,finetuned_minilm,0.01,0.08633093525179857,0.10072384560443022,0.44588018942623564
validation_2023,finetuned_minilm,0.02,0.14388489208633093,0.13908145874114775,0.43106475802979805
validation_2023,finetuned_minilm,0.05,0.2589928057553957,0.2453806312036414,0.4558449896693724
validation_2023,finetuned_minilm,0.1,0.3669064748201439,0.3306500793389874,0.4669297063761064
validation_2023,finetuned_minilm,0.2,0.60431654676259,0.5410085264707906,0.5504708769713675
validation_2023,finetuned_minilm,0.3,0.7266187050359713,0.6402891218954024,0.5814642629905837
validation_2023,citer_detect,0.01,0.1079136690647482,0.15160299899277346,0.47472987938281536
validation_2023,citer_detect,0.02,0.2014388489208633,0.2053237258409986,0.47779039099955695
validation_2023,citer_detect,0.05,0.381294964028777,0.33899132102902935,0.5258465544571557
validation_2023,citer_detect,0.1,0.539568345323741,0.46910516979685335,0.5623044279243686
validation_2023,citer_detect,0.2,0.7194244604316546,0.6248541894722466,0.6054098208864814
validation_2023,citer_detect,0.3,0.7913669064748201,0.7010754200239739,0.6223949067287504
test_2024,prior,0.01,0.015410958904109588,0.011566923577674644,0.033649637338669304
test_2024,prior,0.02,0.023972602739726026,0.018884614848144674,0.03956348534201598
test_2024,prior,0.05,0.05821917808219178,0.05080572643720748,0.06671755609597073
test_2024,prior,0.1,0.10445205479452055,0.10052125546689744,0.0994953828599772
test_2024,prior,0.2,0.18835616438356165,0.18857084662440643,0.14892066898006426
test_2024,prior,0.3,0.2893835616438356,0.29319303117699697,0.2047145294206208
test_2024,fused_logistic,0.01,0.0958904109589041,0.09918445389791525,0.32642907600141524
test_2024,fused_logistic,0.02,0.1832191780821918,0.19096497759641834,0.4178098734227638
test_2024,fused_logistic,0.05,0.3835616438356164,0.34345785314214494,0.5064692044230276
test_2024,fused_logistic,0.1,0.553082191780822,0.48027511776819815,0.5555053006696266
test_2024,fused_logistic,0.2,0.7482876712328768,0.6582851435296129,0.6207441155882675
test_2024,fused_logistic,0.3,0.8373287671232876,0.7482766391293003,0.6472560410508951
test_2024,random_forest,0.01,0.09417808219178082,0.09573198419469514,0.27243440203677305
test_2024,random_forest,0.02,0.17123287671232876,0.15396106016883057,0.32082611780532744
test_2024,random_forest,0.05,0.3544520547945205,0.3007738614966695,0.4204691510408119
test_2024,random_forest,0.1,0.565068493150685,0.4991479549812918,0.5318365184376082
test_2024,random_forest,0.2,0.7482876712328768,0.6641357915033655,0.5909270977828563
test_2024,random_forest,0.3,0.8441780821917808,0.7683367637905208,0.6272719737262612
test_2024,extra_trees,0.01,0.09246575342465753,0.09471049631614602,0.284756131439402
test_2024,extra_trees,0.02,0.1695205479452055,0.16289519274387138,0.34605365267685917
test_2024,extra_trees,0.05,0.3664383561643836,0.3075549767682254,0.4400534586476455
test_2024,extra_trees,0.1,0.5616438356164384,0.47714542966085205,0.52610980528694
