split,family,model,n,prevalence,ap,roc_auc,brier,ece15,top1_high_risk_recall,top1_exposure_capture,top1_exposure_ndcg,top2_high_risk_recall,top2_exposure_capture,top2_exposure_ndcg,top5_high_risk_recall,top5_exposure_capture,top5_exposure_ndcg,top10_high_risk_recall,top10_exposure_capture,top10_exposure_ndcg,top20_high_risk_recall,top20_exposure_capture,top20_exposure_ndcg,top30_high_risk_recall,top30_exposure_capture,top30_exposure_ndcg
validation_2023,same_task_survival,weibull_aft,1487,0.09347679892400806,0.5466317676846285,0.8611692248575027,0.06213830219207222,0.02207588573917389,0.10071942446043165,0.12856531955133274,0.47048304365373594,0.17985611510791366,0.19138593246199706,0.4893130146275002,0.37410071942446044,0.3467633968816539,0.5554780867481173,0.5323741007194245,0.47073944900975273,0.5831269994562065,0.6690647482014388,0.6080176532539637,0.613607457756256,0.7841726618705036,0.7114701602124184,0.6446536510661945
test_2024,same_task_survival,weibull_aft,5875,0.09940425531914894,0.5833343865897291,0.8690908314195986,0.0613472575693764,0.021721333864714455,0.09417808219178082,0.10485717013452538,0.3359531500869676,0.1815068493150685,0.1753793455878802,0.39330375771503545,0.3664383561643836,0.33127299585869524,0.49097297635326376,0.5616438356164384,0.48400293449538545,0.5557893626294379,0.7277397260273972,0.6543573838380687,0.6157553488057822,0.8065068493150684,0.7494670984341396,0.6455828035153288
validation_2023,same_task_deep_survival,mtdnn_survival,1487,0.09347679892400806,0.4255382231133832,0.8372862540827872,0.06725247138816991,0.014990628217215717,0.07194244604316546,0.10190242869132525,0.3842832477151526,0.11510791366906475,0.14745492717906186,0.39010748407126883,0.302158273381295,0.26296541252594446,0.4346202579215492,0.4892086330935252,0.40406146560127687,0.48856274138054673,0.6618705035971223,0.5682191093613247,0.5426846324058481,0.7338129496402878,0.6543576857265938,0.5675968097537363
test_2024,same_task_deep_survival,mtdnn_survival,5875,0.09940425531914894,0.48945942775218604,0.8508225391787035,0.06837720905792785,0.017533273479305313,0.08561643835616438,0.0801766774005445,0.3052789331042719,0.14726027397260275,0.13327439325215476,0.3389295218157388,0.3133561643835616,0.29597192655978494,0.45401579450680685,0.4794520547945205,0.41893468155923014,0.4997754850879328,0.6832191780821918,0.6032871995815202,0.5744006358760263,0.809931506849315,0.730316391515762,0.6251055675716463
validation_2023,same_task_exposure,direct_exposure_lgbm,1487,0.09347679892400806,0.5897495390800993,0.8852283158636296,0.05863141073791732,0.022724274617255895,0.10071942446043165,0.09503790833140316,0.34977549588883067,0.19424460431654678,0.21912069357005312,0.4829173986398363,0.4028776978417266,0.3647430444959397,0.5404400837908166,0.5323741007194245,0.46765130816859085,0.5545688399300125,0.7410071942446043,0.6482000888874251,0.6125719832934605,0.8561151079136691,0.745942550811305,0.6406584014458467
test_2024,same_task_exposure,direct_exposure_lgbm,5875,0.09940425531914894,0.6153527700963444,0.8858645981933652,0.058685320861521624,0.01633038412607146,0.0976027397260274,0.11514548643269762,0.3590146018210208,0.18493150684931506,0.18545714729088209,0.41135039775162646,0.3852739726027397,0.3425702224844612,0.5068648408642547,0.577054794520548,0.4846420576960501,0.5603461448736772,0.7636986301369864,0.6763830267420214,0.6348411159629057,0.8544520547945206,0.786214376529816,0.672502255833424
validation_2023,same_task_learning_to_rank,exposure_lambdamart,1487,0.09347679892400806,0.5778630698012497,0.8823516854172448,0.059353304708001375,0.02283027086323105,0.09352517985611511,0.11327461903634867,0.3429310430590659,0.2014388489208633,0.2043615127535012,0.42715144859554444,0.4028776978417266,0.3626693868465572,0.5084350794957625,0.5251798561151079,0.4641599252579992,0.5248456832874842,0.6618705035971223,0.6118682995910022,0.5672663293958502,0.841726618705036,0.7618029732400657,0.6238801552260536
test_2024,same_task_learning_to_rank,exposure_lambdamart,5875,0.09940425531914894,0.6123918965254188,0.8917559670984327,0.058974797810918675,0.016376005472968625,0.09931506849315068,0.10804659824712669,0.33471949320553307,0.1780821917808219,0.1726137625057612,0.3826781965689491,0.3664383561643836,0.3244559173959086,0.47831311551377276,0.5667808219178082,0.4792700517474918,0.5471545768907662,0.7636986301369864,0.6654693858086577,0.6187536202123257,0.8578767123287672,0.779876284028817,0.6602474437636259
validation_2023,general_finetuned_transformer,finetuned_minilm,1487,0.09347679892400806,0.3858716682754627,0.8074739021838909,0.15007917462003442,0.19117089391766817,0.08633093525179857,0.10072384560443022,0.44588018942623564,0.14388489208633093,0.13908145874114775,0.43106475802979805,0.2589928057553957,0.2453806312036414,0.4558449896693724,0.3669064748201439,0.3306500793389874,0.4669297063761064,0.60431654676259,0.5410085264707906,0.5504708769713675,0.7266187050359713,0.6402891218954024,0.5814642629905837
test_2024,general_finetuned_transformer,finetuned_minilm,5875,0.09940425531914894,0.41336562348565414,0.846455469743141,0.13398192370526948,0.1808686597879897,0.06164383561643835,0.053348256210867445,0.17602126078135075,0.1232876712328767,0.10543254629845743,0.22917989817454673,0.25,0.21920486043149423,0.3095237760156971,0.4571917808219178,0.4158389578162187,0.433605287473336,0.6815068493150684,0.6122882141895728,0.5230815768058588,0.791095890410959,0.7315341456095618,0.5714309013750928
validation_2023,proposed_detection,citer_detect,1487,0.09347679892400806,0.5824486225559452,0.8708238157248682,0.05794048745583113,0.018038262722772303,0.1079136690647482,0.15160299899277346,0.47472987938281536,0.2014388489208633,0.2053237258409986,0.47779039099955695,0.381294964028777,0.33899132102902935,0.5258465544571557,0.539568345323741,0.46910516979685335,0.5623044279243686,0.7194244604316546,0.6248541894722466,0.6054098208864814,0.7913669064748201,0.7010754200239739,0.6223949067287504
test_2024,proposed_detection,citer_detect,5875,0.09940425531914894,0.6143625950481192,0.8949330473303075,0.05998533772198282,0.03810428989330931,0.0976027397260274,0.10893673969716638,0.33516534415345534,0.1797945205479452,0.18285632129000676,0.39742583949641475,0.3784246575342466,0.332775977638981,0.4883957951025305,0.571917808219178,0.485189379752445,0.5536231490816516,0.7756849315068494,0.68336565415179,0.6329190258739208,0.8613013698630136,0.7728534536485125,0.6586177354740724
